,Aggression,Eating,Foraging,Locomoting,Neutral Social,Play,Resting,Standing,IntCar,InvCar,Other,Out of sight,Scent Marking,Stereotyping,subject,date,Month
January 1600 car feeding obs2.csv,0,24.113,660.895,117.189,0,0,0,61.736,0,0,0,35.933,0,0,1600,1/15/2020,January
January 1600 car feeding obs3.csv,0,27.312,430.764,281.328,0,2.005,29.029,102.258,0,0,0,27.121,0,0,1600,1/21/2020,January
January 1600 car feeding obs4.csv,0,29.417,427.287,326.366,0,0,0,106.166,0,0,0,9.408,0,0,1600,1/23/2020,January
January 1600 feeding car OBS1.csv,0,5.104,641.005,123.095,8.203,14.014,11.108,52.538,0,0,0,44.842,0,0,1600,1/10/2020,January
January 1601 car feeding obs1.csv,0,10.504,572.815,147.202,10.606,0,0,137.989,0,0,0,19.715,0,0,1601,1/10/2020,January
January 1601 car feeding obs2.csv,0,8.603,315.28,210.268,11.009,0,0,274.634,0,0,0,71.87,0,0,1601,1/15/2020,January
January 1601 car feeding obs3.csv,0,12.303,281.629,371.032,0,0,0,183.048,0,0,0,47.641,0,0,1601,1/21/2020,January
January 1601 car feeding obs4.csv,0,1.602,188.863,408.572,0,0,0,232.289,0,0,0,66.766,0,0,1601,1/23/2020,January
January 1602 car feeding OBS1.csv,0,11.507,645.413,119.693,8.806,0,0,60.944,0,0,0,48.64,0,0,1602,1/10/2020,January
January 1602 car feeding obs2.csv,0,3.4,293.867,284.949,0,0,0,147.724,0,0,0,168.163,0,0,1602,1/15/2020,January
January 1602 car feeding obs3.csv,0,23.614,299.162,387.941,4.603,1.5,18.216,163.515,0,0,0,0,0,0.801,1602,1/31/2020,January
January 1602 car feeding OBS4.csv,0,26.915,187.857,481.327,0,0,0,145.894,0,0,0,56.353,0,0,1602,1/23/2020,January
January 1610 car feeding obs1.csv,0,4.802,201.178,164.943,17.612,0,248.346,205.381,0,0,0,57.653,0,0,1610,1/10/2020,January
January 1610 car feeding obs2.csv,0,7.504,124.591,212.383,0,0,292.891,203.686,0,0,0,58.853,0,0,1610,1/16/2020,January
January 1610 car feeding obs3.csv,0.702,19.313,163.906,332.692,0,0,0,369.056,0,0,0,14.208,0,0,1610,1/21/2020,January
January 1610 car feeding obs4.csv,0,5.904,233.092,213.978,11.812,0,88.589,331.405,0,0,0,15.113,0,0,1610,1/23/2020,January
January 1617 car feeding obs1.csv,0.901,15.808,528.179,139.018,5.904,0,0,190.864,0,0,0,19.219,0,0,1617,1/10/2020,January
January 1617 car feeding obs2.csv,0,19.204,348.325,243.812,0,0,0,148.723,0,0,0,133.131,0,0,1617,1/16/2020,January
January 1617 car feeding obs3.csv,0,29.015,225.696,479.121,0,7.507,0,149.918,0,0,0,6.805,0,0,1617,1/31/2020,January
January 1617 car feeding obs4.csv,0,0,31.922,389.751,0,0,136.936,309.467,0,0,0,31.831,0,0,1617,1/23/2020,January
January 1622 car feeding obs1.csv,0,16.508,486.351,209.883,6.705,0,0,81.364,0,0,0,48.347,0,0,1622,1/10/2020,January
January 1622 car feeding obs2.csv,0,11.205,273.945,320.776,14.113,0,0,227.588,0,0,0,52.25,0,0,1622,1/15/2020,January
January 1622 car feeding obs3.csv,0,1.501,62.665,556.907,0,0,19.114,99.068,0,0,0,157.944,0,0,1622,1/21/2020,January
January 1622 car feeding obs4.csv,0,0,4.103,468.127,9.607,0,142.241,265.343,0,0,0,10.509,0,0,1622,1/23/2020,January
January 1623 car feeding OBS1.csv,4.202,8.404,563.824,150.92,0,10.909,8.509,102.799,0,0,0,49.845,0,0,1623,1/10/2020,January
January 1623 car feeding obs2.csv,6.002,18.71,493.264,234.002,0,0,0,103.376,0,0,0,44.541,0,0,1623,1/15/2020,January
January 1623 car feeding obs3.csv,0,2.695,72.665,314.768,0,0.699,0,119.115,0,0,0,389.983,0,0,1623,1/21/2020,January
January 1623 car feeding obs4.csv,0,0,186.572,434.292,0,0,0,150.129,0,0,0,126.024,0,0,1623,1/23/2020,January
January 1703 car feeding obs1.csv,0,29.41,553.501,270.338,6.403,0,0,40.231,0,0,0,0,0,0,1703,1/10/2020,January
January 1703 car feeding obs2.csv,0,14.812,280.405,453.807,0,0,0,36.33,0,0,0,110.91,0,0,1703,1/16/2020,January
January 1703 car feeding obs3.csv,0,17.71,437.686,399.874,0,0,0,17.209,0,0,0,24.625,0,0,1703,1/21/2020,January
January 1703 car feeding obs4.csv,19.52,26.814,424.888,236.208,13.209,0,70.669,83.767,0,0,0,17.314,0,6.3,1703,1/23/2020,January
January 1802 car feeding obs2.csv,0,7.606,94.383,395.963,0,0,0,128.494,0,0,0,271.97,0,0,1802,1/16/2020,January
January 1802 car feeding obs3.csv,0,1.801,188.268,467.514,0,7.304,0,191.649,0,0,0,43.344,0,0,1802,1/20/2020,January
January 1802 car feeding obs4.csv,0,0,85.666,440.793,0,0,0,215.471,0,0,0,156.45,0,0,1802,1/23/2020,January
January 1802 Feeding Car OBS1.csv,0,10.994,231.109,390.968,0,0,0,69.342,0,0,0,189.779,0,0,1802,1/10/2020,January
January 1803 car feeding obs1.csv,0,2.8,262.73,465.73,0,0,0,53.14,0,0,0,115.514,0,0,1803,1/10/2020,January
January 1803 car feeding obs2.csv,0,0,45.035,447.405,0,0,0,176.137,0,0,0,176.972,0,0,1803,1/16/2020,January
January 1803 car feeding obs3.csv,0,0,21.017,439.701,0,0,43.642,356.719,0,0,0,20.215,0,0,1803,1/20/2020,January
January 1803 car feeding obs4.csv,0,0,2.702,478.247,0,0,0,347.118,0,0,0,71.871,0,0,1803,1/23/2020,January
January 1820 car feeding obs 1.csv,0,20.709,638.91,102.087,0,0,0,123.303,0,0,0,14.914,0,0,1820,1/10/2020,January
January 1820 car feeding obs2.csv,0,10.602,607.401,15.21,2,0,52.652,179.272,0,0,0,32.83,0,0,1820,1/15/2020,January
January 1820 car feeding obs3.csv,0,26.212,815.498,25.508,4.504,0,0,20.402,0,0,0,0,0,0,1820,1/31/2020,January
January 1820 car feeding obs4.csv,0,30.014,733.807,70.856,2.802,0,0,31.823,0,0,0,24.924,0,0,1820,1/23/2020,January
January 1841 car feeding obs1.csv,0,12.006,626.704,76.966,0,0,0,168.733,0,0,0,15.516,0,0,1841,1/10/2020,January
January 1841 car feeding obs2.csv,0,8.706,566.633,44.735,0,0,0,255.639,0,0,0,24.225,0,0,1841,1/15/2020,January
January 1841 car feeding obs3.csv,0,27.511,820.593,23.409,0,0,0,28.422,0,0,0,0,0,0,1841,1/31/2020,January
January 1841 car feeding obs4.csv,0,8.704,504.863,182.843,8.506,0,0,122.088,0,0,0,72.87,0,0,1841,1/23/2020,January
January 1842 car feeding OBS1.csv,0,0,12.809,277.349,0,0,0,227.206,0,0,0,382.575,0,0,1842,1/10/2020,January
January 1842 car feeding obs2.csv,0,0,0,196.978,0,0,0,452.433,0,0,0,250.541,0,0,1842,1/16/2020,January
January 1842 car feeding obs3.csv,0,0,0,378.865,0,0,0,472.632,0,0,0,46.339,0,0,1842,1/21/2020,January
January 1842 car feeding obs4.csv,0,0,0,244.209,2.202,0,0,526.603,0,0,0,125.416,0,0,1842,1/23/2020,January
January 1850 car feeding obs1.csv,0,13.7,237.923,515.979,0,0,0,95.087,0,0,0,37.227,0,0,1850,1/10/2020,January
January 1850 car feeding obs2.csv,0,14.709,230.104,400.054,0,0,0,194.452,0,0,0,60.556,0,0,1850,1/16/2020,January
January 1850 car feeding obs3.csv,0,8.006,46.14,493.351,0,0,0,262.136,0,0,0,86.38,0,0,1850,1/20/2020,January
January 1850 car feeding OBS4.csv,0,9.205,25.821,571.733,0,0,0,272.632,0,0,0,16.216,0,0,1850,1/23/2020,January
January 1851 car feeding obs1.csv,0,25.511,570.12,172.642,0,0,0,84.664,0,0,0,46.944,0,0,1851,1/10/2020,January
January 1851 car feeding obs3.csv,0,23.216,446.721,311.162,0,0,0,118.774,0,0,0,0,0,0,1851,1/21/2020,January
January 1851 car feeding obs4.csv,0,21.593,362.453,174.847,0,0,0,323.003,0,0,0,0,0,0,1851,1/23/2020,January
January 1851 car feedings obs2.csv,0,31.216,463.116,201.48,0,0,0,123.295,0,0,0,80.072,0,0,1851,1/16/2020,January
January 1853 Car feeding OBS1.csv,0,13.007,33.322,265.742,0,0,70.469,285.055,0,0,0,232.329,0,0,1853,1/10/2020,January
January 1853 car feeding obs2.csv,0,3.203,90.978,262.234,0,0,146.744,256.224,0,0,0,140.54,0,0,1853,1/16/2020,January
January 1853 car feeding obs3.csv,2.902,4.202,221.49,275.734,0,4.904,0,379.628,0,0,0,11.01,0,0,1853,1/20/2020,January
January 1853 car feeding obs4.csv,0,20.21,175.257,211.075,3,0,28.728,339.709,0,0,0,120.918,0,0,1853,1/23/2020,January
Febraury 1601 car feeding obs3.csv,0,14.007,464.914,149.821,0,17.716,37.637,212.582,0,0,0,0,0,0,1601,2/15/2020,February
February 1600 car feeding obs1.csv,2.205,11.898,241.196,284.947,0,0,0,125.501,0,0,0,232.719,0,0,1600,2/6/2020,February
February 1600 car feeding obs2.csv,0,9.201,427.194,296.845,0,0,0,62.447,0,0,0,104.199,0,0,1600,2/12/2020,February
February 1600 car feeding obs3.csv,0,0,17.81,460.09,0,0,0,415.369,0,0,0,1.304,0,0,1600,2/15/2020,February
February 1600 car feeding obs4.csv,0,37.927,222.575,401.238,0,2.902,0,220.663,0,0,0,14.512,0,0,1600,2/26/2020,February
February 1601 car feeding obs1.csv,0,2.501,286.341,347.988,0,0,0,186.053,0,0,0,64.362,0,0,1601,2/6/2020,February
February 1601 car feeding obs2.csv,0,2.402,261.926,419.977,0,0,0,156.513,0,0,0,42.842,0,0,1601,2/12/2020,February
February 1602 car feeding obs1.csv,0,20.614,132.597,470.022,17.211,1.502,0,250.208,0,0,0,0,0,0,1602,2/7/2020,February
February 1602 car feeding obs2.csv,0,2.198,192.966,453.617,0,0,0,128.192,0,0,0,108.497,0,0,1602,2/10/2020,February
February 1602 car feeding obs3.csv,2.202,6.302,270.647,443.002,0,0,0,177.736,0,0,0,0,0,0,1602,2/12/2020,February
February 1602 car feeding obs4.csv,2.501,0,0,316.683,0,0,0,468.247,0,0,0,112.51,0,0,1602,2/15/2020,February
February 1610 car feeding obs1.csv,0,16.61,158.644,189.75,14.311,0,233.333,237.01,0,0,0,49.352,0,0,1610,2/7/2020,February
February 1610 car feeding obs2.csv,0,12.708,483.354,116.1,0,0,7.208,268.144,0,0,0,10.409,0,0,1610,2/12/2020,February
February 1610 car feeding obs3.csv,0,0,384.068,136.01,0,0,148.348,231.515,0,0,0,0,0,0,1610,2/19/2020,February
February 1610 car feeding obs4.csv,2.6,9.004,181.155,464.163,0,0,0,239.793,0,0,0,3.202,0,0,1610,2/26/2020,February
February 1617 car feeding obs1.csv,0,16.912,130.098,442.288,12.813,0.698,0,285.726,0,0,0,0,0,0,1617,2/7/2020,February
February 1617 car feeding obs2.csv,0,25.715,198.855,460.089,2.001,0,0,144.612,0,0,0,58.854,0,0,1617,2/10/2020,February
February 1617 car feeding obs3.csv,0,11.001,127.195,573.437,0,1.702,0,176.845,0,0,0,9.706,0,0,1617,2/12/2020,February
February 1617 car feeding obs4.csv,0,0,0,360.731,0,0,0,432.407,0,0,0,104.599,0,0,1617,2/15/2020,February
February 1622 car feeding obs1.csv,0,4.198,226.191,463.989,0,0,7.005,120.097,0,0,0,78.375,0,0,1622,2/6/2020,February
February 1622 car feeding obs2.csv,0,5.205,81.548,488.644,0,0,13.012,229.094,0,0,0,82.376,0,0,1622,2/12/2020,February
February 1622 car feeding obs3.csv,0,1.4,85.981,267.734,3.102,0,267.064,247.638,0,0,0,26.328,0,0,1622,2/15/2020,February
February 1622 car feeding obs4.csv,0,5.604,123.906,535.074,0,0,13.708,200.469,0,0,0,18.421,0,0,1622,2/26/2020,February
February 1623 car feeding obs1.csv,16.311,4.005,359.6,200.272,0,0,0,61.028,0,0,0,258.653,0,0,1623,2/6/2020,February
February 1623 car feeding obs2.csv,3.898,6.805,397.661,316.785,0,0,0,152.02,0,0,0,22.723,0,0,1623,2/12/2020,February
February 1623 car feeding obs3.csv,10.801,11.308,297.252,324.85,0,0,0,252.394,0,0,0,0,0,0,1623,2/15/2020,February
February 1623 car feeding obs4.csv,0,10.906,127.002,497.548,0,2.903,12.212,231.488,0,0,0,7.007,0,0,1623,2/26/2020,February
February 1703 car feeding obs1.csv,0,14.487,344.822,275.123,17.513,0,83.983,101.883,0,0,0,62.057,0,0,1703,2/7/2020,February
February 1703 car feeding obs2.csv,0,17.707,579.34,172.745,0,0,0,119.005,0,0,0,11.111,0,0,1703,2/12/2020,February
February 1703 car feeding obs3.csv,0,14.204,688.957,163.648,0,0,0,22.611,0,0,0,10.506,0,0,1703,2/19/2020,February
February 1703 car feeding obs4.csv,0,14.401,416.189,368.038,0,0,0,76.666,0,0,0,24.618,0,0,1703,2/26/2020,February
February 1802 car feeding obs1.csv,0,5.202,234.603,442.709,0,0,0,64.524,0,0,0,152.242,0,0,1802,2/10/2020,February
February 1802 car feeding obs2.csv,0,0,0,286.455,0,0,0,110.295,0,0,0,503.192,0,0,1802,2/11/2020,February
February 1802 car feeding obs3.csv,0,17.213,401.265,278.201,0,0,0,80.663,0,0,0,121.824,0,0,1802,2/27/2020,February
February 1802 car feeding obs4.csv,0,24.616,424.78,407.924,0,0,0,22.814,0,0,0,19.715,0,0,1802,3/3/2020,February
February 1803 car feeding obs1.csv,0,0,0,321.608,2.304,0,0,576.026,0,0,0,0,0,0,1803,2/7/2020,February
February 1803 car feeding obs2.csv,0,0,4.105,354.415,0,0,0,423.897,0,0,0,117.517,0,0,1803,2/10/2020,February
February 1803 car feeding obs3.csv,0,0,21.616,252.033,0,0,50.95,483.768,0,0,0,91.591,0,0,1803,2/15/2020,February
February 1803 car feeding obs4.csv,0,0,24.509,419.67,0,0,0,455.715,0,0,0,0,0,0,1803,2/26/2020,February
February 1820 car feeding obs 2.csv,0,18.285,518.497,164.631,0,0,0,61.139,0,0,0,137.333,0,0,1820,2/10/2020,February
February 1820 car feeding obs1.csv,0,22.009,627.195,22.715,7.206,0,0,33.814,0,0,0,186.98,0,0,1820,2/7/2020,February
February 1820 car feeding obs3 moving.csv,0,7.509,136.505,302.366,16.415,0,173.771,202.969,0,0,0,60.36,0,0,1820,2/11/2020,February
February 1820 car feeding obs4.csv,0,33.418,550.033,104.365,5.303,0,0,102.177,0,0,0,103.204,0,0,1820,2/27/2020,February
February 1841 car feeding obs1.csv,0,17.608,553.518,33.023,7.101,0,0,32.827,0,0,0,255.843,0,0,1841,2/7/2020,February
February 1841 car feeding obs2.csv,0,2.795,344.81,171.129,0,0,0,69.443,0,0,0,311.703,0,0,1841,2/10/2020,February
February 1841 car feeding obs3 moving.csv,0,0,43.532,283.85,3.602,0,2.601,425.804,0,0,0,140.534,0,0,1841,2/11/2020,February
February 1841 car feeding obs4.csv,0,4.808,305.289,189.939,4.203,0,0,197.649,0,0,0,198.002,0,0,1841,2/27/2020,February
February 1842 car feeding obs1.csv,0,0,0,225.831,0,0,0,282.302,0,0,0,389.568,0,0,1842,2/7/2020,February
February 1842 car feeding obs2.csv,0,0,4.304,343.407,0,0,0,327.697,0,0,0,224.514,0,0,1842,2/12/2020,February
February 1842 car feeding obs3b.csv,0,0,0,229.005,0,0,0,214.099,0,0,0,429.418,0,0,1842,2/19/2020,February
February 1842 car feeding obs4.csv,0,0,19.016,678.925,0,0,0,197.457,0,0,0,0,0,0,1842,2/26/2020,February
February 1850 car feeding obs1.csv,0,0,0,287.038,0,0,47.265,565.64,0,0,0,0,0,0,1850,2/7/2020,February
February 1850 car feeding obs2.csv,0,0,3.604,567.62,0,0,0,326.592,0,0,0,2.099,0,0,1850,2/10/2020,February
February 1850 car feeding obs3b.csv,0,0,4.601,343.72,5.101,0,144.542,401.986,0,0,0,0,0,0,1850,2/15/2020,February
February 1850 car feeding obs4.csv,0,0,37.237,493.193,0,0,0,368.079,0,0,0,0,0,0,1850,2/26/2020,February
February 1851 car feeding obs1.csv,0,37.033,350.398,221.779,0,0,3.504,101.166,0,0,0,185.983,0,0,1851,2/7/2020,February
February 1851 car feeding obs2.csv,0,13.509,364.037,230.696,0,0,0,120.303,0,0,0,171.369,0,0,1851,2/12/2020,February
February 1851 car feeding obs3.csv,0,6.404,453.029,132.112,5.602,0,0,115.894,0,0,0,186.079,0,0,1851,2/19/2020,February
February 1851 car feeding obs4.csv,0,73.948,189.56,515.381,0,0,0,120.999,0,0,0,0,0,0,1851,2/26/2020,February
February 1853 car feeding obs1.csv,0,11.798,310.592,191.176,0,1.602,0,256.694,0,0,0,77.978,0,0,1853,2/10/2020,February
February 1853 car feeding obs2.csv,0,1.3,100.283,388.843,2.904,0,0,232.11,0,0,0,174.469,0,0,1853,2/11/2020,February
February 1853 car feeding obs3.csv,0,18.412,87.463,161.463,0,0,0,176.74,0,0,0,455.853,0,0,1853,2/27/2020,February
February 1853 car feeding obs4.csv,1.4,43.424,413.58,186.747,0,0,0,165.737,78.671,8.506,0,0,0,0,1853,3/3/2020,February
Februayr 1601 car feeding obs4.csv,0,16.104,406.242,307.455,0,0,0,116.383,0,0,0,50.439,0,0,1601,2/26/2020,February
March 1600 car feeding obs1.csv,0,27.318,133.399,493.045,9.099,0,0,236.984,0,0,0,0,0,0,1600,3/4/2020,March
March 1600 car feeding obs2.csv,0,0,164.34,496.649,0,0,0,235.899,0,0,0,0,0,0,1600,3/13/2020,March
March 1600 car feeding obs3.csv,0,0,117.505,360.223,0,0,39.939,382.231,0,0,0,0,0,0,1600,3/18/2020,March
March 1600 car feeding obs4.csv,0,8.008,138.48,299.154,0,0,0,121.692,0,0,0,332.572,0,0,1600,3/23/2020,March
March 1601 car feeding obs1.csv,0,7.902,99.883,516.467,0,0,0,272.616,0,0,0,3.002,0,0,1601,3/4/2020,March
March 1601 car feeding obs2.csv,0,16.311,104.983,495.437,0,0,0,277.895,0,0,0,5.203,0,0,1601,3/13/2020,March
March 1601 car feeding obs3.csv,0,10.605,331.689,351.879,0,0,0,147.718,0,0,0,54.347,3.104,0,1601,3/23/2020,March
March 1601 car feeding obs4.csv,0,12.301,110.894,373.842,0,0,0,373.837,0,0,0,0,0,0,1601,3/26/2020,March
March 1602 car feeding obs1.csv,0,0,27.017,517.364,0,0,0,335.988,0,0,0,19.518,0,0,1602,3/4/2020,March
March 1602 car feeding obs2.csv,0,6.303,172.74,429.482,0,0,0,291.346,0,0,0,0,0,0,1602,3/13/2020,March
March 1602 car feeding obs3.csv,0,4.202,333.302,290.239,0,4.905,0,260.427,0,0,0,0,0,0,1602,3/23/2020,March
March 1610 car feeding obs1.csv,0,8.504,188.459,406.247,0,0,0,235.592,0,0,0,61.056,0,0,1610,3/4/2020,March
March 1610 car feeding obs2.csv,0,31.421,393.021,357.901,0,0,0,112.174,0,0,0,5.307,0,0,1610,3/13/2020,March
March 1610 car feeding obs3.csv,0,0,173.442,321.991,0,0,232.933,160.338,0,0,0,11.209,0,0,1610,3/18/2020,March
March 1610 car feeding obs4.csv,0,11.704,255.102,522.186,0,0,0,103.379,0,0,0,7.507,0,0,1610,3/23/2020,March
March 1617 car feeding obs1.csv,0,15.113,432.183,336.878,0,0,0,53.833,0,0,0,61.854,0,0,1617,3/4/2020,March
March 1617 car feeding obs2.csv,0,49.926,479.71,248.626,0,0,0,114.378,0,0,0,5.207,0,0,1617,3/13/2020,March
March 1617 car feeding obs3.csv,0,23.111,285.543,406.145,0,0,0,174.026,0,0,0,11.007,0,0,1617,3/23/2020,March
March 1617 car feeding obs4.csv,0,36.33,103.68,315.476,0,0,0,334.209,0,0,0,106.9,0,0,1617,3/26/2020,March
March 1622 car feeding obs1.csv,0,32.416,229.597,466.911,0,0,0,137.706,0,0,0,31.627,0,0,1622,3/4/2020,March
March 1622 car feeding obs2.csv,0,17.104,176.741,505.263,0,0,0,179.551,0,0,0,21.216,0,0,1622,3/13/2020,March
March 1622 car feeding obs3.csv,0,3.905,402.454,367.005,0,0,0,102.182,0,0,0,24.322,0,0,1622,3/23/2020,March
March 1622 car feeding obs4.csv,0,0,24.61,655.718,0,0,0,219.609,0,0,0,0,0,0,1622,3/26/2021,March
March 1623 car feeding obs1.csv,0,18.911,489.737,316.159,0,0,0,71.249,0,0,0,0,0,0,1623,3/4/2020,March
March 1623 car feeding obs2.csv,0,0,90.972,481.652,0,0,0,322.782,0,0,0,4.504,0,0,1623,3/13/2020,March
March 1623 car feeding obs3.csv,0,27.618,234.198,389.651,0,0,24.425,223.998,0,0,0,0,0,0,1623,3/18/2020,March
March 1623 car feeding obs4.csv,0,14.611,273.211,523.479,0,0,0,73.14,0,0,0,15.414,0,0,1623,3/23/2020,March
March 1703 car feeding obs1.csv,0,4.999,716.077,151.108,0,0,0,19.004,0,0,0,8.705,0,0,1703,3/4/2020,March
March 1703 car feeding obs2.csv,0,15.509,644.798,219.871,0,0,0,8.506,0,0,0,11.209,0,0,1703,3/13/2020,March
March 1703 car feeding obs3.csv,0,11.704,512.979,272.221,0,0,0,71.465,0,0,0,25.822,0,0,1703,3/18/2020,March
March 1703 car feeding obs4.csv,0,14.411,549.616,287.757,0,0,0,17.711,0,0,0,30.425,0,0,1703,3/23/2020,March
March 1802 car feeding obs1.csv,0,2,243.188,473.816,0,0,0,127.694,0,0,0,53.152,0,0,1802,3/4/2020,March
March 1802 car feeding obs2.csv,0,0,0,0,0,0,0,0,0,0,0,900,0,0,1802,3/13/2020,March
March 1802 car feeding obs3.csv,0,0,0,0,0,0,0,0,0,0,0,900,0,0,1802,3/18/2020,March
March 1802 car feeding obs4.csv,0,30.52,224.103,598.557,0,0,0,34.921,0,0,0,11.812,0,0,1802,3/23/2020,March
March 1803 car feeding obs1.csv,0,0,32.121,441.886,0,0,0,425.854,0,0,0,0,0,0,1803,3/4/2020,March
March 1803 car feeding obs2.csv,0,4.205,243.917,538.89,0,0,0,85.457,0,0,0,27.415,0,0,1803,3/13/2020,March
March 1803 car feeding obs3.csv,0,6.601,336.407,447.087,0,0,0,89.079,0,0,0,7.604,0,0,1803,3/23/2020,March
March 1803 car feeding obs4.csv,0,0,26.317,412.366,0,0,0,454.426,0,0,0,0,0,0,1803,3/26/2020,March
March 1820 car feeding obs1.csv,0,7.802,246.335,317.556,0,0,71.97,218.583,0,0,0,37.634,0,0,1820,3/4/2020,March
March 1820 car feeding obs2.csv,0,108.774,592.043,85.971,1.503,0,0,109.783,0,0,0,1.801,0,0,1820,3/13/2020,March
March 1820 car feeding obs3.csv,0,33.513,646.314,126.007,0,0,0,87.667,0,0,0,0,0,0,1820,3/23/2020,March
March 1820 car feeding obs4.csv,0,39.429,253.919,257.934,0,0,13.014,292.664,0,0,0,42.941,0,0,1820,4/3/2020,March
March 1841 car feeding obs1.csv,0,4.501,278.733,255.411,0,0,35.434,289.756,0,0,0,35.432,0,0,1841,3/4/2020,March
March 1841 car feeding obs2.csv,0,20.515,340.277,360.627,0,0,0,166.629,0,0,0,9.708,0,0,1841,3/13/2020,March
